step,train_loss,val_loss
1,2.0525591373443604,
1000,1.303007960319519,
2000,1.3604975938796997,
3000,1.304374098777771,
4000,1.3804810047149658,
5000,1.2874054908752441,
6000,1.2685247659683228,
7000,1.3441927433013916,
8000,1.2795050144195557,
9000,1.3008668422698975,
10000,1.332280158996582,
11000,1.3848686218261719,
12000,1.2305865287780762,
13000,1.3679084777832031,
14000,1.3056614398956299,
15000,1.353548288345337,
16000,1.2843992710113525,
17000,1.2842247486114502,
18000,1.360758900642395,
19000,1.2526575326919556,
20000,1.3168011903762817,
21000,1.32624351978302,
22000,1.3382680416107178,
23000,1.2780927419662476,
24000,1.3527812957763672,
25000,1.3914581537246704,
26000,1.227197289466858,
27000,1.2667107582092285,
28000,1.3656771183013916,
29000,1.2224918603897095,
30000,1.289278507232666,
31000,1.2474185228347778,
32000,1.3618298768997192,
33000,1.270308494567871,
34000,1.2141906023025513,
35000,1.3208377361297607,
36000,1.3635278940200806,
37000,1.3690487146377563,
38000,1.3636244535446167,
39000,1.361928939819336,
40000,1.3578994274139404,
41000,1.3537673950195312,
42000,1.3632605075836182,
43000,1.269336223602295,
44000,1.2177395820617676,
45000,1.344510555267334,
46000,1.333113193511963,
47000,1.2471415996551514,
48000,1.2852189540863037,
49000,1.2114019393920898,
50000,1.3586018085479736,
51000,1.2029165029525757,
52000,1.070328712463379,
53000,1.3488012552261353,
54000,1.3589036464691162,
55000,1.1691503524780273,
56000,1.3034179210662842,
57000,1.3768651485443115,
58000,1.242538571357727,
59000,1.266345500946045,
60000,1.2625917196273804,
61000,1.349411964416504,
62000,1.163042426109314,
63000,1.3314176797866821,
64000,1.224232792854309,
65000,1.3577704429626465,
66000,1.2279911041259766,
67000,1.2884398698806763,
68000,1.2435423135757446,
69000,1.3379104137420654,
70000,1.3591926097869873,
71000,1.350235939025879,
72000,1.2157381772994995,
73000,1.255119800567627,
74000,1.3330554962158203,
75000,1.3604073524475098,
76000,1.3131294250488281,
77000,1.370270848274231,
78000,1.3216986656188965,
79000,1.3516571521759033,
80000,1.2672560214996338,
81000,1.172547698020935,
82000,1.217816710472107,
83000,1.305765151977539,
84000,1.2324914932250977,
85000,1.2490158081054688,
86000,1.236667513847351,
87000,1.1912535429000854,
88000,1.1688997745513916,
89000,1.2509796619415283,
90000,1.1526254415512085,
91000,1.2641575336456299,
92000,1.2625250816345215,
93000,1.141904354095459,
94000,1.0917294025421143,
95000,1.1490938663482666,
96000,1.3113629817962646,
